Loaded pretrained weights for efficientnet-b0
Epoch: 0 	Training Loss: 0.150511 	Validation Loss: 0.125284 
Epoch: 0 	Training acc: 94.09 	Validation acc: 94.68 
Validation loss decreased (inf --> 0.125284).  Saving model ...
Epoch: 1 	Training Loss: 0.099096 	Validation Loss: 0.081952 
Epoch: 1 	Training acc: 96.23 	Validation acc: 97.18 
Validation loss decreased (0.125284 --> 0.081952).  Saving model ...
Epoch: 2 	Training Loss: 0.087558 	Validation Loss: 0.066405 
Epoch: 2 	Training acc: 96.72 	Validation acc: 97.50 
Validation loss decreased (0.081952 --> 0.066405).  Saving model ...
Epoch: 3 	Training Loss: 0.090475 	Validation Loss: 0.059086 
Epoch: 3 	Training acc: 96.64 	Validation acc: 97.86 
Validation loss decreased (0.066405 --> 0.059086).  Saving model ...
Epoch: 4 	Training Loss: 0.092420 	Validation Loss: 0.063912 
Epoch: 4 	Training acc: 96.75 	Validation acc: 97.48 
Epoch: 5 	Training Loss: 0.096304 	Validation Loss: 0.067835 
Epoch: 5 	Training acc: 96.72 	Validation acc: 97.66 
Epoch: 6 	Training Loss: 0.121500 	Validation Loss: 0.061501 
Epoch: 6 	Training acc: 96.05 	Validation acc: 97.78 
Epoch: 7 	Training Loss: 0.105458 	Validation Loss: 0.097320 
Epoch: 7 	Training acc: 96.51 	Validation acc: 96.80 
Epoch: 8 	Training Loss: 0.103582 	Validation Loss: 0.068735 
Epoch: 8 	Training acc: 96.60 	Validation acc: 97.76 
Epoch: 9 	Training Loss: 0.107132 	Validation Loss: 0.061799 
Epoch: 9 	Training acc: 96.30 	Validation acc: 98.00 
Epoch: 10 	Training Loss: 0.094920 	Validation Loss: 0.054949 
Epoch: 10 	Training acc: 96.72 	Validation acc: 98.10 
Validation loss decreased (0.059086 --> 0.054949).  Saving model ...
Epoch: 11 	Training Loss: 0.106966 	Validation Loss: 0.073267 
Epoch: 11 	Training acc: 96.48 	Validation acc: 97.68 
Epoch: 12 	Training Loss: 0.098436 	Validation Loss: 0.062605 
Epoch: 12 	Training acc: 96.59 	Validation acc: 98.04 
Epoch: 13 	Training Loss: 0.101038 	Validation Loss: 0.070263 
Epoch: 13 	Training acc: 96.72 	Validation acc: 97.78 
Epoch: 14 	Training Loss: 0.094839 	Validation Loss: 0.076252 
Epoch: 14 	Training acc: 96.90 	Validation acc: 97.70 
Epoch: 15 	Training Loss: 0.116561 	Validation Loss: 0.062594 
Epoch: 15 	Training acc: 96.65 	Validation acc: 97.98 
Epoch: 16 	Training Loss: 0.109712 	Validation Loss: 0.073030 
Epoch: 16 	Training acc: 96.73 	Validation acc: 97.72 
Epoch: 17 	Training Loss: 0.108122 	Validation Loss: 0.070287 
Epoch: 17 	Training acc: 96.48 	Validation acc: 97.72 
Epoch: 18 	Training Loss: 0.113053 	Validation Loss: 0.072166 
Epoch: 18 	Training acc: 96.44 	Validation acc: 97.72 
Epoch: 19 	Training Loss: 0.112127 	Validation Loss: 0.084573 
Epoch: 19 	Training acc: 96.67 	Validation acc: 97.26 
Epoch: 20 	Training Loss: 0.105775 	Validation Loss: 0.059476 
Epoch: 20 	Training acc: 96.54 	Validation acc: 98.04 
Epoch: 21 	Training Loss: 0.105573 	Validation Loss: 0.065871 
Epoch: 21 	Training acc: 96.50 	Validation acc: 98.02 
Epoch: 22 	Training Loss: 0.107212 	Validation Loss: 0.114975 
Epoch: 22 	Training acc: 96.71 	Validation acc: 96.34 
Epoch: 23 	Training Loss: 0.120756 	Validation Loss: 0.062115 
Epoch: 23 	Training acc: 96.55 	Validation acc: 98.08 
Epoch: 24 	Training Loss: 0.108844 	Validation Loss: 0.078203 
Epoch: 24 	Training acc: 96.78 	Validation acc: 97.54 
Epoch: 25 	Training Loss: 0.101596 	Validation Loss: 0.068658 
Epoch: 25 	Training acc: 96.95 	Validation acc: 97.84 
Epoch: 26 	Training Loss: 0.114493 	Validation Loss: 0.087877 
Epoch: 26 	Training acc: 96.80 	Validation acc: 97.54 
Epoch: 27 	Training Loss: 0.111404 	Validation Loss: 0.065408 
Epoch: 27 	Training acc: 96.57 	Validation acc: 97.78 
Epoch: 28 	Training Loss: 0.120166 	Validation Loss: 0.061811 
Epoch: 28 	Training acc: 96.62 	Validation acc: 98.20 
Epoch: 29 	Training Loss: 0.114731 	Validation Loss: 0.060193 
Epoch: 29 	Training acc: 96.53 	Validation acc: 98.24 
Epoch: 30 	Training Loss: 0.107831 	Validation Loss: 0.059245 
Epoch: 30 	Training acc: 97.03 	Validation acc: 98.08 
Epoch: 31 	Training Loss: 0.110679 	Validation Loss: 0.063015 
Epoch: 31 	Training acc: 96.55 	Validation acc: 98.08 
Epoch: 32 	Training Loss: 0.135278 	Validation Loss: 0.072827 
Epoch: 32 	Training acc: 96.44 	Validation acc: 97.90 
Epoch: 33 	Training Loss: 0.099163 	Validation Loss: 0.069985 
Epoch: 33 	Training acc: 96.94 	Validation acc: 97.94 
Epoch: 34 	Training Loss: 0.096331 	Validation Loss: 0.072165 
Epoch: 34 	Training acc: 97.06 	Validation acc: 97.90 
