Epoch: 0 	Training Loss: 0.282795 	Validation Loss: 0.091503 
Epoch: 0 	Training acc: 91.23 	Validation acc: 97.32 
Validation loss decreased (inf --> 0.091503).  Saving model ...
Epoch: 1 	Training Loss: 0.061055 	Validation Loss: 0.056454 
Epoch: 1 	Training acc: 98.41 	Validation acc: 98.38 
Validation loss decreased (0.091503 --> 0.056454).  Saving model ...
Epoch: 2 	Training Loss: 0.043460 	Validation Loss: 0.051332 
Epoch: 2 	Training acc: 98.79 	Validation acc: 98.04 
Validation loss decreased (0.056454 --> 0.051332).  Saving model ...
Epoch: 3 	Training Loss: 0.033050 	Validation Loss: 0.051319 
Epoch: 3 	Training acc: 99.09 	Validation acc: 98.14 
Validation loss decreased (0.051332 --> 0.051319).  Saving model ...
Epoch: 4 	Training Loss: 0.025294 	Validation Loss: 0.082911 
Epoch: 4 	Training acc: 99.30 	Validation acc: 97.06 
Epoch: 5 	Training Loss: 0.024346 	Validation Loss: 0.043363 
Epoch: 5 	Training acc: 99.31 	Validation acc: 98.40 
Validation loss decreased (0.051319 --> 0.043363).  Saving model ...
Epoch: 6 	Training Loss: 0.030286 	Validation Loss: 0.056181 
Epoch: 6 	Training acc: 98.98 	Validation acc: 97.80 
Epoch: 7 	Training Loss: 0.023239 	Validation Loss: 0.063896 
Epoch: 7 	Training acc: 99.25 	Validation acc: 97.78 
Epoch: 8 	Training Loss: 0.049075 	Validation Loss: 0.057543 
Epoch: 8 	Training acc: 98.34 	Validation acc: 98.06 
Epoch: 9 	Training Loss: 0.021891 	Validation Loss: 0.039259 
Epoch: 9 	Training acc: 99.18 	Validation acc: 98.72 
Validation loss decreased (0.043363 --> 0.039259).  Saving model ...
Epoch: 10 	Training Loss: 0.030585 	Validation Loss: 0.050681 
Epoch: 10 	Training acc: 98.86 	Validation acc: 98.30 
Epoch: 11 	Training Loss: 0.013218 	Validation Loss: 0.037947 
Epoch: 11 	Training acc: 99.59 	Validation acc: 98.76 
